A0AQW4	TCP12_ARATH	AT1G68800
Q8VYI4	Q8VYI4_ARATH	AT1G14810
Q8VYI5	VQ10_ARATH	AT1G78410
Q8VYI7	Q8VYI7_ARATH	AT1G80610
Q8VYJ2	AHL1_ARATH	AT4G12080
Q8VYJ4	Q8VYJ4_ARATH	AT3G25150
Q8VYJ6	Q8VYJ6_ARATH	AT2G30880
Q8VYJ7	CLPB4_ARATH	AT2G25140
Q8VYK4	NFYB8_ARATH	AT2G37060
Q8VYK7	ATG8F_ARATH	AT4G16520
Q8VYL4	Q8VYL4_ARATH	AT2G37150
Q8VYL8	DTX10_ARATH	AT1G15150
Q8VYM0	ERF93_ARATH	AT2G31230
Q8VYM2	PHT11_ARATH	AT5G43350
Q8VYM4	Q8VYM4_ARATH	AT3G52150
Q8VYN2	VAP42_ARATH	AT4G21450
Q8VYN4	Q8VYN4_ARATH	AT2G34610
Q8VYN6	PFKA5_ARATH	AT2G22480
Q8VYN9	PHO32_ARATH	AT5G54430
Q8VYP0	SCO11_ARATH	AT3G08950
Q8VYP5	ZDH14_ARATH	AT3G60800
Q8VYP7	Q8VYP7_ARATH	AT3G62560
Q8VYP8	Q8VYP8_ARATH	AT5G23130
Q8VYQ8	Q8VYQ8_ARATH	AT1G35470
Q8VYR5	PP351_ARATH	AT4G35850
Q8VYR7	BOR1_ARATH	AT2G47160
Q8VYS5	TBL18_ARATH	AT4G25360
Q8VYS8	ZDH24_ARATH	AT5G50020
Q8VYT3	Y4052_ARATH	AT4G30520
Q8VYU8	ICR5_ARATH	AT3G53350
Q8VYV2	Q8VYV2_ARATH	AT1G56000
Q8VYV9	APF1_ARATH	AT2G17760
Q8VYW1	PAPS4_ARATH	AT4G32850
Q8VYY5	NCRK_ARATH	AT2G28250
Q8VYZ0	ORTH2_ARATH	AT1G57820
Q8VYZ2	PPA8_ARATH	AT2G01890
Q8VZ02	BH048_ARATH	AT2G42300
Q8VZ08	Q8VZ08_ARATH	AT3G24180
Q8VZ15	Q8VZ15_ARATH	AT5G65960
Q8VZ20	ASR3_ARATH	AT2G33550
Q8VZ21	Q8VZ21_ARATH	AT5G61820
Q8VZ24	Q8VZ24_ARATH	AT4G11100
Q8VZ34	Q8VZ34_ARATH	AT2G26210
Q8VZ37	AP3S_ARATH	AT3G50860
Q8VZ38	Q8VZ38_ARATH	AT4G00780
Q8VZ40	PUB14_ARATH	AT3G54850
Q8VZ44	Q8VZ44_ARATH	AT1G02160
Q8VZ48	RBL6_ARATH	AT1G12750
Q8VZ49	ADHL4_ARATH	AT1G64710
Q8VZ52	ATG10_ARATH	AT3G07525
Q8VZ55	RK35_ARATH	AT2G24090
Q8VZ57	Q8VZ57_ARATH	AT1G52510
Q8VZ58	Q8VZ58_ARATH	AT5G60750
Q8VZ73	Q8VZ73_ARATH	AT2G39100
Q8VZ74	Q8VZ74_ARATH	AT5G66470
Q8VZ79	IDN2_ARATH	AT3G48670
Q8VZ80	PLT5_ARATH	AT3G18830
Q8VZ87	CB1B_ARATH	AT1G29910
Q8VZ90	Q8VZ90_ARATH	AT5G20140
Q8VZ91	EF103_ARATH	AT4G17490
Q8VZ93	Q8VZ93_ARATH	AT3G59840
Q8VZ95	VAP11_ARATH	AT3G60600
Q8VZ98	Q8VZ98_ARATH	AT5G08185
Q8VZA1	LAC11_ARATH	AT5G03260
Q8VZB2	HACD_ARATH	AT5G10480
Q8VZB3	Q8VZB3_ARATH	AT1G63110
Q8VZB5	Q8VZB5_ARATH	AT5G14260
Q8VZB9	R10A1_ARATH	AT1G08360
Q8VZC2	Q8VZC2_ARATH	AT1G78490
Q8VZC7	DRL36_ARATH	AT5G45510
Q8VZC9	VPS25_ARATH	AT4G19003
Q8VZD4	DEG15_ARATH	AT1G28320
Q8VZD5	KSG5_ARATH	AT5G14640
Q8VZE1	Q8VZE1_ARATH	AT2G17250
Q8VZE5	Q8VZE5_ARATH	AT1G05410
Q8VZF3	CGEP_ARATH	AT2G47390
Q8VZG1	DGK3_ARATH	AT2G18730
Q8VZG2	HSR4_ARATH	AT3G50930
Q8VZG8	MIK2_ARATH	AT4G08850
Q8VZH2	APM1_ARATH	AT4G33090
Q8VZI4	Q8VZI4_ARATH	AT3G24460
Q8VZI6	Q8VZI6_ARATH	AT4G33380
Q8VZI7	SUMO5_ARATH	AT2G32765
Q8VZI8	FTSHA_ARATH	AT1G07510
Q8VZI9	Q8VZI9_ARATH	AT3G11100
Q8VZJ1	ATXR5_ARATH	AT5G09790
Q8VZJ4	Q8VZJ4_ARATH	AT4G25730
Q8VZJ5	Q8VZJ5_ARATH	AT5G23575
Q8VZJ7	P4H9_ARATH	AT4G33910
Q8VZL1	Q8VZL1_ARATH	AT5G13260
Q8VZL6	SWC4_ARATH	AT2G47210
Q8VZL7	Q8VZL7_ARATH	AT1G26660
Q8VZM1	Q8VZM1_ARATH	AT1G80410
Q8VZN1	OFP5_ARATH	AT4G18830
Q8VZN9	P2C11_ARATH	AT1G43900
Q8VZP1	GPP2_ARATH	AT5G57440
Q8VZP6	GUX8_ARATH	AT2G35710
Q8VZQ2	Q8VZQ2_ARATH	AT1G09540
Q8VZQ3	CSPL3_ARATH	AT1G17200
Q8VZQ4	2AB2C_ARATH	AT5G28900
Q8VZR3	Q8VZR3_ARATH	AT1G45010
Q8VZR6	INT1_ARATH	AT2G43330
Q8VZR7	PTR30_ARATH	AT2G40460
Q8VZR8	Q8VZR8_ARATH	AT4G28300
Q8VZS3	Q8VZS3_ARATH	AT1G68670
Q8VZS6	GIP1_ARATH	AT3G13222
Q8VZS8	PYL1_ARATH	AT5G46790
Q8VZS9	FZR1_ARATH	AT4G11920
Q8VZT0	NLAL1_ARATH	AT3G03920
Q8VZT3	EDL12_ARATH	AT3G05400
Q8VZT4	Q8VZT4_ARATH	AT1G29350
Q8VZT9	Q8VZT9_ARATH	AT4G00585
Q8VZU1	Q8VZU1_ARATH	AT2G39725
Q8VZU2	SY132_ARATH	AT5G08080
Q8VZU9	DERL1_ARATH	AT4G29330
Q8VZV6	Q8VZV6_ARATH	AT5G19290
Q8VZV7	PMT9_ARATH	AT5G14430
Q8VZV8	Q8VZV8_ARATH	AT5G10110
Q8VZV9	PTA7_ARATH	AT5G24314
Q8VZW1	NIP11_ARATH	AT4G19030
Q8VZW3	CFI3_ARATH	AT5G05270
Q8VZW6	Q8VZW6_ARATH	AT3G08740
Q8VZZ4	AB6C_ARATH	AT3G13090
Q8W032	CDC6B_ARATH	AT1G07270
Q8W037	NIP21_ARATH	AT2G34390
Q8W0Z6	AP5M_ARATH	AT2G20790
Q8W0Z7	BCAL1_ARATH	AT3G05190
Q8W0Z8	Q8W0Z8_ARATH	AT3G51050
Q8W0Z9	CCR4A_ARATH	AT3G58560
Q8W104	FBL17_ARATH	AT3G54650
Q8W108	MTND3_ARATH	AT4G14710
Q8W117	SMU1_ARATH	AT1G73720
Q8W191	HYH_ARATH	AT3G17609
Q8W1D5	CIPKP_ARATH	AT5G25110
Q8W1E3	CDF1_ARATH	AT5G62430
Q8W1E4	Q8W1E4_ARATH	AT1G12650
Q8W1E7	Q8W1E7_ARATH	AT4G15420
Q8W1P0	CSN6B_ARATH	AT4G26430
Q8W1S1	DGDG2_ARATH	AT4G00550
Q8W1W6	Q8W1W6_ARATH	AT5G06100
Q8W1X2	PDXK_ARATH	AT5G37850
Q8W1Y3	KP1_ARATH	AT3G44730
Q8W206	CSN6A_ARATH	AT5G56280
Q8W207	CSN2_ARATH	AT2G26990
Q8W234	SEUSS_ARATH	AT1G43850
Q8W245	ZIP10_ARATH	AT1G31260
Q8W2B8	SAT4_ARATH	AT4G35640
Q8W2D2	Q8W2D2_ARATH	AT5G59920
Q8W2F1	BH012_ARATH	AT4G00480
Q8W2F2	BH011_ARATH	AT4G36060
Q8W2F3	PIF4_ARATH	AT2G43010
Q8W3K0	DRL9_ARATH	AT1G58602
Q8W3L1	MFDR_ARATH	AT4G32360
Q8W420	ADO2_ARATH	AT2G18915
Q8W453	DIRL1_ARATH	AT5G48485
Q8W456	Q8W456_ARATH	AT1G20225
Q8W458	Q8W458_ARATH	AT4G23470
Q8W463	RK191_ARATH	AT4G17560
Q8W468	ARI8_ARATH	AT1G65430
Q8W469	SIPL2_ARATH	AT1G63690
Q8W474	DRL7_ARATH	AT1G58390
Q8W475	SWI3A_ARATH	AT2G47620
Q8W483	Q8W483_ARATH	AT5G42530
Q8W485	Y5010_ARATH	AT5G50100
Q8W487	YB95_ARATH	AT2G39795
Q8W488	DTX21_ARATH	AT1G33110
Q8W489	RAD4_ARATH	AT5G16630
Q8W493	FNRL2_ARATH	AT1G20020
Q8W494	Q8W494_ARATH	AT1G11240
Q8W497	Q8W497_ARATH	AT2G19870
Q8W498	Q8W498_ARATH	AT4G27640
Q8W4A6	Q8W4A6_ARATH	AT3G13224
Q8W4A7	GUX3_ARATH	AT1G77130
Q8W4B0	Q8W4B0_ARATH	AT1G70280
Q8W4B1	Q8W4B1_ARATH	AT5G53060
Q8W4B2	Q8W4B2_ARATH	AT3G10572
Q8W4C8	Q8W4C8_ARATH	AT5G37680
Q8W4D0	CPY71_ARATH	AT3G44600
Q8W4D6	Q8W4D6_ARATH	AT1G16720
Q8W4D8	DDL_ARATH	AT3G20550
Q8W4E2	VATB3_ARATH	AT1G20260
Q8W4F0	DAR1_ARATH	AT4G36860
Q8W4F3	SYQ_ARATH	AT1G25350
Q8W4H5	Q8W4H5_ARATH	AT2G03150
Q8W4H7	EF1A2_ARATH	AT1G07930
Q8W4H8	GDL19_ARATH	AT1G54010
Q8W4I4	POT6_ARATH	AT1G70300
Q8W4I5	ERF69_ARATH	AT1G22985
Q8W4I7	CDPKD_ARATH	AT3G51850
Q8W4I9	AML1_ARATH	AT5G61960
Q8W4J1	Q8W4J1_ARATH	AT4G03200
Q8W4J2	MPK16_ARATH	AT5G19010
Q8W4J5	Q8W4J5_ARATH	AT2G04650
Q8W4J8	TIF7_ARATH	AT1G70700
Q8W4J9	RPP8_ARATH	AT5G43470
Q8W4K3	CAAT4_ARATH	AT3G03720
Q8W4K5	VAB_ARATH	AT3G63300
Q8W4L3	Q8W4L3_ARATH	AT4G00710
Q8W4L5	VAL1_ARATH	AT2G30470
Q8W4M5	PFPB1_ARATH	AT1G12000
Q8W4M7	ERCC2_ARATH	AT1G03190
Q8W4N1	Q8W4N1_ARATH	AT3G10980
Q8W4P1	CDKC2_ARATH	AT5G64960
Q8W4P9	Q8W4P9_ARATH	AT3G28430
Q8W4Q4	Q8W4Q4_ARATH	AT4G24800
Q8W4Q5	RIN3_ARATH	AT5G51450
Q8W4R6	Q8W4R6_ARATH	AT3G27770
Q8W4S4	VHAA3_ARATH	AT4G39080
Q8W4S5	Y5371_ARATH	AT5G63710
Q8W570	Q8W570_ARATH	AT4G38930
Q8W571	ATL32_ARATH	AT4G40070
Q8W573	Q8W573_ARATH	AT3G03950
Q8W575	CSN3_ARATH	AT5G14250
Q8W586	Q8W586_ARATH	AT4G21800
Q8W595	SUVR4_ARATH	AT3G04380
Q8W5B1	VRN2_ARATH	AT4G16845
Q8W5R5	KN7D_ARATH	AT4G39050
Q8W5S1	CCH11_ARATH	AT5G27620
Q93V36	Q93V36_ARATH	AT5G54920
Q93V43	TCP2_ARATH	AT4G18390
Q93V47	GG2_ARATH	AT3G22942
Q93V51	Q93V51_ARATH	AT5G06370
Q93V56	IPYR1_ARATH	AT1G01050
Q93V62	Q93V62_ARATH	AT4G27450
Q93V66	FAX1_ARATH	AT3G57280
Q93V68	Q93V68_ARATH	AT3G26100
Q93V70	Q93V70_ARATH	AT1G21000
Q93V85	WTR16_ARATH	AT3G02690
Q93V99	PDF2_ARATH	AT4G04890
Q93VA3	CYC6_ARATH	AT5G45040
Q93VA8	Q93VA8_ARATH	AT1G76010
Q93VA9	Q93VA9_ARATH	AT5G25080
Q93VB4	Q93VB4_ARATH	AT4G02220
Q93VB8	RS22_ARATH	AT1G59359,AT1G58983,AT1G58684
Q93VC7	RPS1_ARATH	AT5G30510
Q93VD3	CIPKN_ARATH	AT1G30270
Q93VF4	Q93VF4_ARATH	AT4G14385
Q93VG3	Q93VG3_ARATH	AT5G19120
Q93VG5	RS81_ARATH	AT5G20290
Q93VG8	PPDEX_ARATH	AT4G17486
Q93VH1	Q93VH1_ARATH	AT4G30260
Q93VH5	Q93VH5_ARATH	AT5G10730
Q93VH6	GIF3_ARATH	AT4G00850
Q93VH9	RS41_ARATH	AT2G17360
Q93VI3	RL171_ARATH	AT1G27400
Q93VI4	PABN1_ARATH	AT5G51120
Q93VI8	TLP7_ARATH	AT1G53320
Q93VJ4	BEE2_ARATH	AT4G36540
Q93VK0	PPCK2_ARATH	AT3G04530
Q93VK1	Q93VK1_ARATH	AT4G28450
Q93VK7	Q93VK7_ARATH	AT5G14910
Q93VK9	Q93VK9_ARATH	AT3G48210
Q93VM6	Q93VM6_ARATH	AT4G39900
Q93VM8	COPT5_ARATH	AT5G20650
Q93VM9	THOC1_ARATH	AT5G09860
Q93VP2	HIP22_ARATH	AT1G22990
Q93VP3	IF5A2_ARATH	AT1G26630
Q93VP9	Q93VP9_ARATH	AT4G27585
Q93VQ0	VCL1_ARATH	AT2G38020
Q93VQ7	Q93VQ7_ARATH	AT4G38060
Q93VR4	ML423_ARATH	AT1G24020
Q93VR9	SEH1_ARATH	AT1G64350
Q93VS8	Q93VS8_ARATH	AT5G19820
Q93VT6	Q93VT6_ARATH	AT5G08540
Q93VT9	RL101_ARATH	AT1G14320
Q93VV0	ZDHC6_ARATH	AT3G09320
Q93VV3	Q93VV3_ARATH	AT3G07760
Q93VY3	NAC72_ARATH	AT4G27410
Q93W02	Q93W02_ARATH	AT5G24690
Q93W03	Q93W03_ARATH	AT3G56130
Q93W05	Q93W05_ARATH	AT1G10590
Q93W20	NIFU2_ARATH	AT5G49940
Q93W22	RL103_ARATH	AT1G66580
Q93W28	Y4554_ARATH	AT4G15545
Q93W34	RP45C_ARATH	AT4G27000
Q93W54	ICMTB_ARATH	AT5G08335
Q93W92	Q93W92_ARATH	AT5G60590
Q93W93	FBK22_ARATH	AT1G55270
Q93W95	PMTD_ARATH	AT4G00740
Q93WB5	Q93WB5_ARATH	AT1G14960
Q93WB8	Q93WB8_ARATH	AT3G13410
Q93WC4	IAA29_ARATH	AT4G32280
Q93WE4	Q93WE4_ARATH	AT3G13672
Q93WF1	PLY20_ARATH	AT5G48900
Q93WG3	Q93WG3_ARATH	AT1G08640
Q93WJ5	Q93WJ5_ARATH	AT1G72175
Q93WJ9	KAN1_ARATH	AT5G16560
Q93WK5	APRR7_ARATH	AT5G02810
Q93WL3	CLPT1_ARATH	AT4G25370
Q93WM0	Q93WM0_ARATH	AT3G03890
Q93WN0	SEBP2_ARATH	AT4G14040
Q93WT0	WRK31_ARATH	AT4G22070
Q93WU6	WRK74_ARATH	AT5G28650
Q93WU8	WRK54_ARATH	AT2G40750
Q93WU9	WRK51_ARATH	AT5G64810
Q93WV0	WRK20_ARATH	AT4G26640
Q93WX6	CNIF1_ARATH	AT1G08490
Q93WY4	WRK12_ARATH	AT2G44745
Q93XM5	Q93XM5_ARATH	AT5G06839
Q93XM6	Q93XM6_ARATH	AT1G08320
Q93XM7	MCAT_ARATH	AT5G46800
Q93XN8	SPP3B_ARATH	AT3G52340
Q93XW5	NSP5_ARATH	AT5G48180
Q93XW9	Q93XW9_ARATH	AT1G50575
Q93XX0	Q93XX0_ARATH	AT4G10430
Q93XX2	SEOA_ARATH	AT3G01670
Q93XX5	Y5713_ARATH	AT5G67130
Q93XY1	Q93XY1_ARATH	AT5G53620
Q93XY2	Q93XY2_ARATH	AT5G07730
Q93XY4	Q93XY4_ARATH	AT5G03990
Q93XY9	Q93XY9_ARATH	AT1G35430
Q93Y00	BH007_ARATH	AT1G03040
Q93Y19	Q93Y19_ARATH	AT1G48210
Q93Y22	COPD_ARATH	AT5G05010
Q93Y32	BCAT1_ARATH	AT1G10060
Q93Y35	PSMD6_ARATH	AT4G24820
Q93Y39	RH13_ARATH	AT3G16840
Q93YN0	SCO2_ARATH	AT3G19220
Q93YN3	Q93YN3_ARATH	AT5G05100
Q93YN8	Q93YN8_ARATH	AT3G57540
Q93YN9	IPPK_ARATH	AT5G42810
Q93YP0	UEV1A_ARATH	AT1G23260
Q93YP9	ERDL4_ARATH	AT1G19450
Q93YQ1	RTOR1_ARATH	AT3G08850
Q93YQ3	PURU1_ARATH	AT5G47435
Q93YQ5	Q93YQ5_ARATH	AT3G61180
Q93YR9	ARFP_ARATH	AT4G30080
Q93YS4	AB22G_ARATH	AT5G06530
Q93YS8	Q93YS8_ARATH	AT4G13345
Q93YT1	GLR32_ARATH	AT4G35290
Q93YU0	Q93YU0_ARATH	AT1G67890
Q93YU2	RUS6_ARATH	AT5G49820
Q93YU5	SEC8_ARATH	AT3G10380
Q93YV5	Q93YV5_ARATH	AT1G78420
Q93YV6	2A5I_ARATH	AT5G25510
Q93YV9	SKIP8_ARATH	AT4G10925
Q93YW0	EXEC1_ARATH	AT4G33630
Q93YW4	Q93YW4_ARATH	AT5G38600
Q93YW5	P2C58_ARATH	AT4G28400
Q93YZ7	ILVH2_ARATH	AT2G31810
Q93Z00	TCP14_ARATH	AT3G47620
Q93Z01	MIK_ARATH	AT5G58730
Q93Z04	PLY13_ARATH	AT3G54920
Q93Z08	E136_ARATH	AT5G58090
Q93Z11	Q93Z11_ARATH	AT5G37360
Q93Z13	BOR3_ARATH	AT3G06450
Q93Z16	RPN2_ARATH	AT4G21150
Q93Z18	CKL3_ARATH	AT4G28880
Q93Z20	PTR17_ARATH	AT1G62200
Q93Z42	Q93Z42_ARATH	AT5G19750
Q93Z48	Q93Z48_ARATH	AT1G09500
Q93Z61	Q93Z61_ARATH	AT1G17090
Q93Z66	KPRS3_ARATH	AT1G10700
Q93Z68	Q93Z68_ARATH	AT3G59470
Q93Z81	CAX3_ARATH	AT3G51860
Q93Z82	Q93Z82_ARATH	AT1G31300
Q93Z83	Q93Z83_ARATH	AT5G26280
Q93ZA0	NYC1_ARATH	AT4G13250
Q93ZA8	Q93ZA8_ARATH	AT4G17250
Q93ZB1	LOL1_ARATH	AT1G32540
Q93ZB6	DCUP1_ARATH	AT3G14930
Q93ZB7	GTE11_ARATH	AT3G01770
Q93ZC0	Q93ZC0_ARATH	AT5G46490
Q93ZC5	AOC4_ARATH	AT1G13280
Q93ZC6	Q93ZC6_ARATH	AT4G31875
Q93ZD1	Q93ZD1_ARATH	AT5G01260
Q93ZD5	Q93ZD5_ARATH	AT1G74680
Q93ZD6	Q93ZD6_ARATH	AT4G24880
Q93ZD7	MRS24_ARATH	AT3G58970
Q93ZD8	Q93ZD8_ARATH	AT5G20885
Q93ZE2	TGA7_ARATH	AT1G77920
Q93ZE8	SDF2_ARATH	AT2G25110
Q93ZF6	Q93ZF6_ARATH	AT4G23450
Q93ZG3	Q93ZG3_ARATH	AT1G27840
Q93ZG7	RH38_ARATH	AT3G53110
Q93ZG9	FKB53_ARATH	AT4G25340
Q93ZH1	Q93ZH1_ARATH	AT1G27210
Q93ZH2	NFYA3_ARATH	AT1G72830
Q93ZH7	Q93ZH7_ARATH	AT5G03040
Q93ZH9	HHP1_ARATH	AT5G20270
Q93ZJ3	NFD6_ARATH	AT2G20585
Q93ZJ9	Q93ZJ9_ARATH	AT1G80000
Q93ZL5	CDF2_ARATH	AT5G39660
Q93ZM2	Q93ZM2_ARATH	AT5G22310
Q93ZM6	Q93ZM6_ARATH	AT5G63620
Q93ZM7	CH60C_ARATH	AT3G13860
Q93ZM9	TIF9_ARATH	AT5G13220
Q93ZN5	Q93ZN5_ARATH	AT4G00090
Q93ZN9	DAPAT_ARATH	AT4G33680
Q93ZQ2	Q93ZQ2_ARATH	AT3G60110
Q93ZQ3	PLP9_ARATH	AT3G63200
Q93ZQ9	Q93ZQ9_ARATH	AT1G07840
Q93ZR1	ELP3_ARATH	AT5G50320
Q93ZS4	NIK3_ARATH	AT1G60800
Q93ZS9	C3H47_ARATH	AT3G55980
Q93ZT2	Q93ZT2_ARATH	AT5G17840
Q93ZT5	EDL3_ARATH	AT3G63060
Q93ZT6	IF4G1_ARATH	AT5G57870
Q93ZU3	Q93ZU3_ARATH	AT4G23050
Q93ZV7	LA1_ARATH	AT4G32720
Q93ZV8	Q93ZV8_ARATH	AT1G10510
Q93ZW0	G6PD4_ARATH	AT1G09420
Q93ZW4	Q93ZW4_ARATH	AT1G33230
Q93ZX1	RFC4_ARATH	AT1G21690
Q93ZX4	Q93ZX4_ARATH	AT1G56290
Q93ZX7	GAUT4_ARATH	AT5G47780
Q93ZY1	Q93ZY1_ARATH	AT5G66480
Q93ZY2	ROGF1_ARATH	AT4G38430
Q940A7	TA12B_ARATH	AT1G17440
Q940B0	RL183_ARATH	AT5G27850
Q940B8	KIN13_ARATH	AT3G16630
Q940C2	Q940C2_ARATH	AT5G52550
Q940C8	Q940C8_ARATH	AT3G10420
Q940D0	ARR1_ARATH	AT3G16857
Q940G0	TMN1_ARATH	AT1G10950
Q940G6	GID1C_ARATH	AT5G27320
Q940G8	Q940G8_ARATH	AT1G17145
Q940H2	Q940H2_ARATH	AT4G19985
Q940H3	TBL36_ARATH	AT3G54260
Q940H6	SRK2E_ARATH	AT4G33950
Q940H8	FRL4B_ARATH	AT4G14900
Q940I0	AHL13_ARATH	AT4G17950
Q940I2	Q940I2_ARATH	AT5G03880
Q940I8	Q940I8_ARATH	AT4G16100
Q940J1	ATB16_ARATH	AT4G40060
Q940J7	Q940J7_ARATH	AT4G40045
Q940J9	PMT8_ARATH	AT1G04430
Q940K0	DRL15_ARATH	AT1G61180
Q940K8	Q940K8_ARATH	AT4G26310
Q940L4	Q940L4_ARATH	AT3G62590
Q940M2	AGT21_ARATH	AT4G39660
Q940M4	OCT7_ARATH	AT3G13050
Q940M5	Q940M5_ARATH	AT3G10250
Q940M6	Q940M6_ARATH	AT4G27435
Q940N9	DTX39_ARATH	AT4G21910
Q940P5	TET19_ARATH	AT2G20740
Q940P8	TCPB_ARATH	AT5G20890
Q940Q0	Q940Q0_ARATH	AT5G03180
Q940Q1	PLY1_ARATH	AT1G04680
Q940Q4	ATL13_ARATH	AT4G30400
Q940S0	TMN2_ARATH	AT1G14670
Q940S5	COPZ1_ARATH	AT1G60970
Q940S9	Q940S9_ARATH	AT3G57890
Q940T0	Q940T0_ARATH	AT1G79420
Q940T5	RDUF2_ARATH	AT5G59550
Q940T9	COL4_ARATH	AT5G24930
Q940U5	Q940U5_ARATH	AT1G27700
Q940U6	FLU_ARATH	AT3G14110
Q940U9	Q940U9_ARATH	AT5G17440
Q940V4	C85A2_ARATH	AT3G30180
Q940X7	RBX1A_ARATH	AT5G20570
Q940X9	LRP1A_ARATH	AT5G21160
Q940Y1	ORP2A_ARATH	AT4G22540
Q940Y3	ARID3_ARATH	AT2G17410
Q940Y5	PIN7_ARATH	AT1G23080
Q940Y6	Q940Y6_ARATH	AT4G27600
Q940Y8	Q940Y8_ARATH	AT3G16060
Q940Z2	ARP5_ARATH	AT3G12380
Q940Z3	Q940Z3_ARATH	AT2G36485
Q940Z6	Q940Z6_ARATH	AT1G12810
Q941A6	SDH6_ARATH	AT1G08480
Q941B2	Q941B2_ARATH	AT1G09870
Q941C5	CLE44_ARATH	AT4G13195
Q941C7	PSY1_ARATH	AT5G58650
Q941C9	Q941C9_ARATH	AT5G25410
Q941D5	VPS2C_ARATH	AT1G03950
Q941D6	HDA14_ARATH	AT4G33470
Q941E9	Q941E9_ARATH	AT1G67865
Q941L0	CESA3_ARATH	AT5G05170
Q941L2	BAP1_ARATH	AT3G61190
Q941L3	BON1_ARATH	AT5G61900
Q941Q3	C3H37_ARATH	AT3G12680
Q941R4	GONS1_ARATH	AT2G13650
Q941R6	MLP31_ARATH	AT1G70840
Q943Z4	Q943Z4_ARATH	AT3G50560
Q944A2	Q944A2_ARATH	AT1G20220
Q944A6	SNF4_ARATH	AT1G09020
Q944A7	Y4523_ARATH	AT4G35230
Q944A9	NPS11_ARATH	AT2G35190
Q944B6	TYRA1_ARATH	AT5G34930
Q944C1	PLCD4_ARATH	AT5G58700
Q944G5	PTR44_ARATH	AT3G47960
Q944G6	Q944G6_ARATH	AT4G03150
Q944G8	Q944G8_ARATH	AT4G30240
Q944G9	ALFC2_ARATH	AT4G38970
Q944H0	PEAM2_ARATH	AT1G48600
Q944H1	Q944H1_ARATH	AT4G10470
Q944H2	AB12I_ARATH	AT3G21580
Q944H5	MTM1_ARATH	AT4G27940
Q944I5	Q944I5_ARATH	AT5G08190
Q944J0	SPCS1_ARATH	AT2G22425
Q944K2	OST48_ARATH	AT5G66680
Q944L3	IDD9_ARATH	AT3G45260
Q944L5	Q944L5_ARATH	AT1G26740
Q944L9	Q944L9_ARATH	AT1G17970
Q944M0	Q944M0_ARATH	AT5G57340
Q944M5	SWET4_ARATH	AT3G28007
Q944N8	ENT6_ARATH	AT4G05110
Q944Q0	WNK8_ARATH	AT5G41990
Q944Q6	Q944Q6_ARATH	AT2G14835
Q944R1	PLY15_ARATH	AT4G13710
Q944R3	Q944R3_ARATH	AT1G50290
Q944S1	RH22_ARATH	AT1G59990
Q944S5	Q944S5_ARATH	AT3G28670
Q945F0	DTX47_ARATH	AT4G39030
Q945K7	IDH5_ARATH	AT5G03290
Q945K9	Q945K9_ARATH	AT4G34150
Q945L4	WTR40_ARATH	AT5G40210
Q945L7	Q945L7_ARATH	AT2G17110
Q945M1	NDUB9_ARATH	AT4G34700
Q945M3	Q945M3_ARATH	AT1G23890
Q945M9	NFYA9_ARATH	AT3G20910
Q945P1	Q945P1_ARATH	AT2G39050
Q945P2	Q945P2_ARATH	AT5G49210
Q945P6	Q945P6_ARATH	AT2G24550
Q945Q1	CYT1_ARATH	AT5G12140
Q945Q2	Q945Q2_ARATH	AT3G59090
Q946J2	SUVR1_ARATH	AT1G04050
Q946J8	LHP1_ARATH	AT5G17690
Q946Y7	SYP61_ARATH	AT1G28490
Q948R9	Q948R9_ARATH	AT3G17170
Q949M4	Q949M4_ARATH	AT4G28760
Q949M9	Q949M9_ARATH	AT1G01910
Q949N8	Q949N8_ARATH	AT1G73920
Q949P2	COPDA_ARATH	AT5G10540
Q949Q2	Q949Q2_ARATH	AT5G03210
Q949Q5	PSAO_ARATH	AT1G08380
Q949R4	DIOXL_ARATH	AT4G15093
Q949S3	Q949S3_ARATH	AT3G42725
Q949S4	Q949S4_ARATH	AT1G14340
Q949S5	P2B11_ARATH	AT1G80110
Q949S6	Q949S6_ARATH	AT1G14345
Q949S9	SPF27_ARATH	AT3G18165
Q949T8	ASHR3_ARATH	AT4G30860
Q949T9	Q949T9_ARATH	AT5G14370
Q949U1	C79F1_ARATH	AT1G16410
Q949U2	Q949U2_ARATH	AT3G13040
Q949U7	PRX2E_ARATH	AT3G52960
Q949V0	Q949V0_ARATH	AT5G51180
Q949V6	ARI1_ARATH	AT4G34370
Q949V7	Q949V7_ARATH	AT3G59300
Q949W5	Q949W5_ARATH	AT1G22750
Q949W6	KAKU4_ARATH	AT4G31430
Q949W8	Q949W8_ARATH	AT5G49650
Q949Y0	UBP6_ARATH	AT1G51710
Q949Y1	Q949Y1_ARATH	AT1G63240
Q949Y8	Q949Y8_ARATH	AT2G39130
Q949Z2	Q949Z2_ARATH	AT5G26740
Q949Z8	Q949Z8_ARATH	AT1G36980
Q94A05	B3GTA_ARATH	AT4G32120
Q94A06	M2K1_ARATH	AT4G26070
Q94A08	RFS2_ARATH	AT3G57520
Q94A18	AB29G_ARATH	AT3G16340
Q94A20	BI1L_ARATH	AT4G15470
Q94A21	SPX4_ARATH	AT5G15330
Q94A28	ACO3M_ARATH	AT4G26970
Q94A32	FAX2_ARATH	AT3G43520
